country,country_code,year,account_pct,bank_account_pct,mobile_account_pct,country_name,poverty_headcount,gini
Argentina,ARG,2014,0.501972945,0.501972945,0.004323196,Argentina,0.010590506102,0.418224839868
Armenia,ARM,2014,0.176690647,0.172399639,0.006578374,Armenia,0.034375871285,0.314832906537
Bolivia,BOL,2014,0.417967196,0.407108203,0.027771435,Bolivia,0.055981645485,0.478291678711
Brazil,BRA,2014,0.681231585,0.681231585,0.008577455,Brazil,0.047357452944,0.520297095857
Burkina Faso,BFA,2014,0.143575961,0.134244859,0.030809696,Burkina Faso,0.587374624402,0.353012275455
Cameroon,CMR,2014,0.121777347,0.113510369,0.017966049,Cameroon,0.290259295704,0.466408737571
Colombia,COL,2014,0.389990168,0.383533374,0.02212442,Colombia,0.089910068943,0.525429577019
Dominican Republic,DOM,2014,0.540909896,0.53986396,0.023180556,Dominican Republic,0.041287046467,0.442794686695
El Salvador,SLV,2014,0.367197118,0.346347202,0.045567878,El Salvador,0.069533309066,0.415594391809
Guatemala,GTM,2014,0.413492185,0.407867284,0.017702767,Guatemala,0.079611413098,0.483265205275
Honduras,HND,2014,0.314863604,0.300436578,0.034087009,Honduras,0.205949950254,0.498748702344
Indonesia,IDN,2014,0.360589893,0.359473605,0.004496315,Indonesia,0.256611167463,0.38779971142
"Iran, Islamic Rep.",IRN,2014,0.922802533,0.921752207,0.044956916,"Iran, Islamic Rep.",0.032981890486,0.348140211797
Mauritania,MRT,2014,0.228658822,0.204453831,0.06480396,Mauritania,0.117057048412,0.326193498823
Mexico,MEX,2014,0.391408432,0.386953463,0.034240299,Mexico,0.071985233883,0.489123379911
Mongolia,MNG,2014,0.918217819,0.918217819,0.049979871,Mongolia,0.007806010385,0.320377899312
Nicaragua,NIC,2014,0.19438484,0.188548055,0.010537743,Nicaragua,0.065703775874,0.461562941857
Niger,NER,2014,0.067065881,0.034900444,0.038526655,Niger,0.603037450938,0.342765760379
Panama,PAN,2014,0.436621402,0.43403554,0.015579504,Panama,0.063799582269,0.504652358238
Peru,PER,2014,0.28975232,0.28975232,0.0,Peru,0.079933110944,0.431388085387
Romania,ROU,2014,0.608371569,0.607945378,0.00462934,Romania,0.088859229339,0.360091066522
South Africa,ZAF,2014,0.703174555,0.687672342,0.144281802,South Africa,0.312106044238,0.630257167965
Thailand,THA,2014,0.781365538,0.781365538,0.013012658,Thailand,0.00228820297,0.370326640457
Turkiye,TUR,2014,0.566774866,0.565125673,0.008081998,Türkiye,0.010181622932,0.412365629209
Uruguay,URY,2014,0.455857273,0.453554098,0.012334332,Uruguay,0.002115371042,0.401109414195
Viet Nam,VNM,2014,0.309509468,0.308643549,0.004965069,Viet Nam,0.034136109859,0.347553754965
Albania,ALB,2017,0.400151702,0.393175046,0.02377762,Albania,0.014444440683,0.330556627407
Argentina,ARG,2017,0.487084867,0.479166929,0.024161674,Argentina,0.011142496046,0.4143479755
Armenia,ARM,2017,0.477590178,0.453288188,0.09755307,Armenia,0.023624778076,0.336218373633
Bolivia,BOL,2017,0.544050565,0.512075036,0.071193898,Bolivia,0.064122792693,0.446177950561
Brazil,BRA,2017,0.700439481,0.700439481,0.048365306,Brazil,0.06938963921,0.533211568091
Chile,CHL,2017,0.743492432,0.738367048,0.18670815,Chile,0.004827644599,0.452699841716
Colombia,COL,2017,0.457592285,0.448889825,0.047374512,Colombia,0.0730628014,0.497065918684
Dominican Republic,DOM,2017,0.56239191,0.547829503,0.038946795,Dominican Republic,0.015202537022,0.421932773934
Ecuador,ECU,2017,0.512460172,0.508677729,0.029369748,Ecuador,0.042794947388,0.446701179545
"Egypt, Arab Rep.",EGY,2017,0.327843607,0.320713584,0.017920163,"Egypt, Arab Rep.",0.031126536056,0.315339527694
El Salvador,SLV,2017,0.303529471,0.293357529,0.035496148,El Salvador,0.045496538956,0.380071523901
Gabon,GAB,2017,0.586019984,0.339846588,0.435779884,Gabon,0.038104873394,0.380243722915
Georgia,GEO,2017,0.612304463,0.612304463,0.022010216,Georgia,0.110653681489,0.379395758567
Honduras,HND,2017,0.453429696,0.429444273,0.061960126,Honduras,0.193274545026,0.494445668978
Indonesia,IDN,2017,0.488574509,0.483920589,0.031239157,Indonesia,0.147567416723,0.363678897651
"Iran, Islamic Rep.",IRN,2017,0.939819167,0.933562762,0.262966091,"Iran, Islamic Rep.",0.026673317587,0.36693677284
Kyrgyz Republic,KGZ,2017,0.399420035,0.382831645,0.031068763,Kyrgyz Republic,0.081937603433,0.273350091372
Lesotho,LSO,2017,0.455638157,0.333214801,0.276418432,Lesotho,0.418584923481,0.448776131498
Mauritius,MUS,2017,0.898425267,0.894947191,0.056269371,Mauritius,0.0054019159,0.36761205938
Myanmar,MMR,2017,0.25992298,0.256092444,0.006904999,Myanmar,0.102662284196,0.306968695324
Panama,PAN,2017,0.464942617,0.4582204,0.035031686,Panama,0.04276577763,0.498842510913
Paraguay,PRY,2017,0.486468607,0.310738919,0.28881767,Paraguay,0.023750721313,0.48547492851
Peru,PER,2017,0.42603181,0.4219042,0.026341662,Peru,0.073140624538,0.432926663647
Romania,ROU,2017,0.577518052,0.576390744,0.029901696,Romania,0.048952637057,0.360126248383
Thailand,THA,2017,0.815940009,0.809575031,0.082568594,Thailand,0.001001059096,0.363828048048
Turkiye,TUR,2017,0.685903081,0.676600284,0.164119521,Türkiye,0.007297743292,0.414056667367
Zimbabwe,ZWE,2017,0.552851376,0.281799819,0.485816322,Zimbabwe,0.446568730815,0.443370820756
Argentina,ARG,2021,0.716270859,0.663254395,0.350841379,Argentina,0.013630346643,0.42445560063
Armenia,ARM,2021,0.553477333,0.522469373,0.167427431,Armenia,0.021180894605,0.279401304413
Benin,BEN,2021,0.486055301,0.237882556,0.366837175,Benin,0.272234156775,0.343958073714
Bolivia,BOL,2021,0.68885446,0.679649645,0.129542215,Bolivia,0.030546807793,0.409133239264
Brazil,BRA,2021,0.840357459,0.835631888,0.269601254,Brazil,0.074646967133,0.529388097112
Burkina Faso,BFA,2021,0.361085343,0.210526432,0.246651698,Burkina Faso,0.4206163413,0.37391286077
Cameroon,CMR,2021,0.51654813,0.235348523,0.424330278,Cameroon,0.266917996676,0.421760724554
Chad,TCD,2022,0.236513334,0.183170383,0.120867652,Chad,0.394753751496,0.37357686373
Colombia,COL,2021,0.597159079,0.559431464,0.217662657,Colombia,0.112283738229,0.551170224126
Cote d'Ivoire,CIV,2021,0.507622911,0.205734957,0.403959431,Côte d'Ivoire,0.209026087195,0.352753624351
Dominican Republic,DOM,2021,0.512980113,0.49546077,0.075716879,Dominican Republic,0.012714582255,0.38529355361
"Egypt, Arab Rep.",EGY,2021,0.274440057,0.26098911,0.02915438,"Egypt, Arab Rep.",0.013737846705,0.284820371966
El Salvador,SLV,2021,0.358453551,0.307094211,0.109182215,El Salvador,0.051309082352,0.390106330774
Georgia,GEO,2021,0.704986886,0.704718533,0.082312009,Georgia,0.107900283076,0.341784440251
Indonesia,IDN,2021,0.517553241,0.505058459,0.092923176,Indonesia,0.085644351867,0.355047632125
"Iran, Islamic Rep.",IRN,2021,0.899846708,0.896203731,0.123863508,"Iran, Islamic Rep.",0.0370868413,0.354687290219
Jamaica,JAM,2021,0.733003615,0.72670044,0.126601306,Jamaica,0.013869244053,0.39874473579
Kenya,KEN,2021,0.791951576,0.505732474,0.686586916,Kenya,0.464498496563,0.387019625737
Kyrgyz Republic,KGZ,2021,0.45094844,0.409704875,0.114294363,Kyrgyz Republic,0.056484836659,0.287933039694
Malaysia,MYS,2021,0.883748841,0.88165342,0.279788583,Malaysia,0.000130829415,0.406684269677
Mali,MLI,2021,0.435009858,0.28442909,0.293780615,Mali,0.361030773406,0.356535942464
Mexico,MEX,2022,0.489714754,0.462440813,0.181400816,Mexico,0.023303961168,0.434540071467
Paraguay,PRY,2021,0.544199771,0.270838267,0.377008071,Paraguay,0.018594976834,0.429051216657
Peru,PER,2021,0.574978561,0.562603056,0.143447853,Peru,0.051898446463,0.401218035606
Philippines,PHL,2021,0.513717639,0.459843281,0.217389093,Philippines,0.156957445487,0.37268467115
Russian Federation,RUS,2021,0.897193266,0.88708071,0.329383356,Russian Federation,0.00225971227,0.351442241658
Senegal,SEN,2021,0.559644071,0.281348261,0.448898718,Senegal,0.178874715861,0.361577212421
Tajikistan,TJK,2021,0.394881618,0.389031633,0.020897526,Tajikistan,0.090671495255,0.323790977684
Thailand,THA,2021,0.955769973,0.941462112,0.59999888,Thailand,0.000286008266,0.349238724919
Togo,TGO,2021,0.496056349,0.249001487,0.364808073,Togo,0.344180057867,0.378580048835
Tunisia,TUN,2021,0.368532365,0.357118626,0.037122092,Tunisia,0.006540433363,0.337164263054
Turkiye,TUR,2021,0.740916613,0.733663266,0.182842014,Türkiye,0.009449698363,0.443648270149
Viet Nam,VNM,2022,0.562657536,0.560644954,0.164659469,Viet Nam,0.016033597017,0.360930040903
South Africa,ZAF,2014,0.702676028,0.687695588,0.150296174,South Africa,0.312106044238,0.630257167965
South Africa,ZAF,2014,0.703621796,0.687651486,0.138886155,South Africa,0.312106044238,0.630257167965
Chile,CHL,2017,0.777538707,0.773949374,0.214932626,Chile,0.004827644599,0.452699841716
Chile,CHL,2017,0.712737912,0.706224989,0.16121255,Chile,0.004827644599,0.452699841716
Gabon,GAB,2017,0.638023464,0.383640987,0.462588735,Gabon,0.038104873394,0.380243722915
Gabon,GAB,2017,0.537041267,0.298599474,0.41053036,Gabon,0.038104873394,0.380243722915
"Iran, Islamic Rep.",IRN,2017,0.964517638,0.954692636,0.307472163,"Iran, Islamic Rep.",0.026673317587,0.36693677284
"Iran, Islamic Rep.",IRN,2017,0.916112579,0.913281457,0.220247368,"Iran, Islamic Rep.",0.026673317587,0.36693677284
Lesotho,LSO,2017,0.446041833,0.336576848,0.242706826,Lesotho,0.418584923481,0.448776131498
Lesotho,LSO,2017,0.464600602,0.330074832,0.307903238,Lesotho,0.418584923481,0.448776131498
Paraguay,PRY,2017,0.512244106,0.329226583,0.309488006,Paraguay,0.023750721313,0.48547492851
Paraguay,PRY,2017,0.460494493,0.292108797,0.267988058,Paraguay,0.023750721313,0.48547492851
Turkiye,TUR,2017,0.829945648,0.822715499,0.185378245,Türkiye,0.007297743292,0.414056667367
Turkiye,TUR,2017,0.542938244,0.531578308,0.143019856,Türkiye,0.007297743292,0.414056667367
Zimbabwe,ZWE,2017,0.592274998,0.334506396,0.511731725,Zimbabwe,0.446568730815,0.443370820756
Zimbabwe,ZWE,2017,0.51664926,0.233400166,0.462018599,Zimbabwe,0.446568730815,0.443370820756
Argentina,ARG,2021,0.695619457,0.658853273,0.369361219,Argentina,0.013630346643,0.42445560063
Argentina,ARG,2021,0.737532007,0.667785464,0.331774729,Argentina,0.013630346643,0.42445560063
Armenia,ARM,2021,0.593752986,0.562163781,0.181430467,Armenia,0.021180894605,0.279401304413
Armenia,ARM,2021,0.521827202,0.491276006,0.156423316,Armenia,0.021180894605,0.279401304413
Benin,BEN,2021,0.581742451,0.30613293,0.443281869,Benin,0.272234156775,0.343958073714
Benin,BEN,2021,0.397870226,0.174983155,0.296385905,Benin,0.272234156775,0.343958073714
Bolivia,BOL,2021,0.740406786,0.729068711,0.160642492,Bolivia,0.030546807793,0.409133239264
Bolivia,BOL,2021,0.63289646,0.626007214,0.095784099,Bolivia,0.030546807793,0.409133239264
Brazil,BRA,2021,0.870474204,0.864401769,0.302943215,Brazil,0.074646967133,0.529388097112
Brazil,BRA,2021,0.808668081,0.805359705,0.234518247,Brazil,0.074646967133,0.529388097112
Burkina Faso,BFA,2021,0.423501439,0.256993092,0.310600329,Burkina Faso,0.4206163413,0.37391286077
Burkina Faso,BFA,2021,0.306802229,0.1701145,0.191035742,Burkina Faso,0.4206163413,0.37391286077
Cameroon,CMR,2021,0.541474459,0.2690017,0.462621997,Cameroon,0.266917996676,0.421760724554
Cameroon,CMR,2021,0.492549796,0.202948237,0.387464139,Cameroon,0.266917996676,0.421760724554
Chad,TCD,2022,0.248595312,0.19463032,0.118964489,Chad,0.394753751496,0.37357686373
Chad,TCD,2022,0.225617475,0.172835498,0.122583976,Chad,0.394753751496,0.37357686373
Colombia,COL,2021,0.635124352,0.60513652,0.216564103,Colombia,0.112283738229,0.551170224126
Colombia,COL,2021,0.562042923,0.517156361,0.218678768,Colombia,0.112283738229,0.551170224126
Cote d'Ivoire,CIV,2021,0.640095413,0.272896428,0.508939172,Côte d'Ivoire,0.209026087195,0.352753624351
Cote d'Ivoire,CIV,2021,0.374442613,0.138214644,0.298418787,Côte d'Ivoire,0.209026087195,0.352753624351
El Salvador,SLV,2021,0.447976506,0.409147216,0.120277009,El Salvador,0.051309082352,0.390106330774
El Salvador,SLV,2021,0.292329768,0.231715435,0.100987335,El Salvador,0.051309082352,0.390106330774
"Iran, Islamic Rep.",IRN,2021,0.948362972,0.948362972,0.165481319,"Iran, Islamic Rep.",0.0370868413,0.354687290219
"Iran, Islamic Rep.",IRN,2021,0.850800161,0.843474389,0.081790813,"Iran, Islamic Rep.",0.0370868413,0.354687290219
Jamaica,JAM,2021,0.751055911,0.738239949,0.126623875,Jamaica,0.013869244053,0.39874473579
Jamaica,JAM,2021,0.715532327,0.715532327,0.126579464,Jamaica,0.013869244053,0.39874473579
Kenya,KEN,2021,0.832449956,0.566988435,0.714192115,Kenya,0.464498496563,0.387019625737
Kenya,KEN,2021,0.753574332,0.447684844,0.660427561,Kenya,0.464498496563,0.387019625737
Kyrgyz Republic,KGZ,2021,0.465361892,0.42668602,0.10830304,Kyrgyz Republic,0.056484836659,0.287933039694
Kyrgyz Republic,KGZ,2021,0.437560736,0.393932211,0.119859307,Kyrgyz Republic,0.056484836659,0.287933039694
Malaysia,MYS,2021,0.892317012,0.888134487,0.269605928,Malaysia,0.000130829415,0.406684269677
Malaysia,MYS,2021,0.875146527,0.875146527,0.290011815,Malaysia,0.000130829415,0.406684269677
Mali,MLI,2021,0.45927838,0.286048343,0.325900939,Mali,0.361030773406,0.356535942464
Mali,MLI,2021,0.412116644,0.2829016,0.263480562,Mali,0.361030773406,0.356535942464
Mexico,MEX,2022,0.562709551,0.540508782,0.204208145,Mexico,0.023303961168,0.434540071467
Mexico,MEX,2022,0.42303727,0.391129213,0.160567341,Mexico,0.023303961168,0.434540071467
Paraguay,PRY,2021,0.534881765,0.247077306,0.374666723,Paraguay,0.018594976834,0.429051216657
Paraguay,PRY,2021,0.553486349,0.294519086,0.379341522,Paraguay,0.018594976834,0.429051216657
Peru,PER,2021,0.623240756,0.615193634,0.20196321,Peru,0.051898446463,0.401218035606
Peru,PER,2021,0.530286765,0.513903087,0.089261416,Peru,0.051898446463,0.401218035606
Philippines,PHL,2021,0.555939212,0.51400687,0.24758897,Philippines,0.156957445487,0.37268467115
Philippines,PHL,2021,0.474188135,0.409133191,0.189114776,Philippines,0.156957445487,0.37268467115
Russian Federation,RUS,2021,0.892579846,0.879667099,0.342964429,Russian Federation,0.00225971227,0.351442241658
Russian Federation,RUS,2021,0.901117314,0.893386524,0.31783167,Russian Federation,0.00225971227,0.351442241658
Senegal,SEN,2021,0.623053673,0.32456693,0.522381289,Senegal,0.178874715861,0.361577212421
Senegal,SEN,2021,0.502954308,0.242709694,0.383203469,Senegal,0.178874715861,0.361577212421
Thailand,THA,2021,0.986060258,0.963114507,0.635719769,Thailand,0.000286008266,0.349238724919
Thailand,THA,2021,0.927033954,0.920920753,0.566110914,Thailand,0.000286008266,0.349238724919
Togo,TGO,2021,0.552160197,0.285425043,0.412980097,Togo,0.344180057867,0.378580048835
Togo,TGO,2021,0.442989015,0.214549286,0.319243268,Togo,0.344180057867,0.378580048835
Turkiye,TUR,2021,0.853436791,0.847198817,0.23036115,Türkiye,0.009449698363,0.443648270149
Turkiye,TUR,2021,0.62545165,0.617156358,0.134079246,Türkiye,0.009449698363,0.443648270149
Viet Nam,VNM,2022,0.599552975,0.598775721,0.182904976,Viet Nam,0.016033597017,0.360930040903
Viet Nam,VNM,2022,0.52780837,0.524628973,0.147425883,Viet Nam,0.016033597017,0.360930040903
South Africa,ZAF,2014,0.796051526,0.779281018,0.181340114,South Africa,0.312106044238,0.630257167965
South Africa,ZAF,2014,0.563528868,0.549933606,0.088562569,South Africa,0.312106044238,0.630257167965
Chile,CHL,2017,0.79311156,0.785531663,0.235654527,Chile,0.004827644599,0.452699841716
Chile,CHL,2017,0.668719885,0.667293279,0.112949391,Chile,0.004827644599,0.452699841716
Gabon,GAB,2017,0.644497121,0.386656185,0.481277924,Gabon,0.038104873394,0.380243722915
Gabon,GAB,2017,0.498290375,0.269621065,0.367522007,Gabon,0.038104873394,0.380243722915
"Iran, Islamic Rep.",IRN,2017,0.944698347,0.940282593,0.302284666,"Iran, Islamic Rep.",0.026673317587,0.36693677284
"Iran, Islamic Rep.",IRN,2017,0.932458435,0.923425223,0.203650079,"Iran, Islamic Rep.",0.026673317587,0.36693677284
Lesotho,LSO,2017,0.543294293,0.400827823,0.356306492,Lesotho,0.418584923481,0.448776131498
Lesotho,LSO,2017,0.323939866,0.231630132,0.156391226,Lesotho,0.418584923481,0.448776131498
Paraguay,PRY,2017,0.555403113,0.36742727,0.332754301,Paraguay,0.023750721313,0.48547492851
Paraguay,PRY,2017,0.382959523,0.225618134,0.222844319,Paraguay,0.023750721313,0.48547492851
Turkiye,TUR,2017,0.766746991,0.760706715,0.193541631,Türkiye,0.007297743292,0.414056667367
Turkiye,TUR,2017,0.563754096,0.54952188,0.119664957,Türkiye,0.007297743292,0.414056667367
Zimbabwe,ZWE,2017,0.630571803,0.381595002,0.541369718,Zimbabwe,0.446568730815,0.443370820756
Zimbabwe,ZWE,2017,0.436011797,0.131774558,0.402301141,Zimbabwe,0.446568730815,0.443370820756
Argentina,ARG,2021,0.758196452,0.714390565,0.403894528,Argentina,0.013630346643,0.42445560063
Argentina,ARG,2021,0.652348174,0.585288621,0.269952845,Argentina,0.013630346643,0.42445560063
Armenia,ARM,2021,0.619282099,0.6009453,0.194905197,Armenia,0.021180894605,0.279401304413
Armenia,ARM,2021,0.454501446,0.404434999,0.126098566,Armenia,0.021180894605,0.279401304413
Benin,BEN,2021,0.535391783,0.268749129,0.413399342,Benin,0.272234156775,0.343958073714
Benin,BEN,2021,0.41191727,0.191499294,0.296868111,Benin,0.272234156775,0.343958073714
Bolivia,BOL,2021,0.771521304,0.758548458,0.175094236,Bolivia,0.030546807793,0.409133239264
Bolivia,BOL,2021,0.562876483,0.559413859,0.0601244,Bolivia,0.030546807793,0.409133239264
Brazil,BRA,2021,0.854033211,0.8488501,0.307715114,Brazil,0.074646967133,0.529388097112
Brazil,BRA,2021,0.819784255,0.815746987,0.212264429,Brazil,0.074646967133,0.529388097112
Burkina Faso,BFA,2021,0.43149292,0.263740328,0.29390011,Burkina Faso,0.4206163413,0.37391286077
Burkina Faso,BFA,2021,0.254991002,0.130340556,0.175454969,Burkina Faso,0.4206163413,0.37391286077
Cameroon,CMR,2021,0.634602381,0.296432077,0.521560781,Cameroon,0.266917996676,0.421760724554
Cameroon,CMR,2021,0.338855918,0.143407133,0.277981433,Cameroon,0.266917996676,0.421760724554
Chad,TCD,2022,0.236793874,0.18200579,0.13149997,Chad,0.394753751496,0.37357686373
Chad,TCD,2022,0.236091663,0.184920846,0.104886548,Chad,0.394753751496,0.37357686373
Colombia,COL,2021,0.677428201,0.639177076,0.275041252,Colombia,0.112283738229,0.551170224126
Colombia,COL,2021,0.476721563,0.439779435,0.131570578,Colombia,0.112283738229,0.551170224126
Cote d'Ivoire,CIV,2021,0.552585614,0.244072472,0.438033143,Côte d'Ivoire,0.209026087195,0.352753624351
Cote d'Ivoire,CIV,2021,0.440101253,0.148162515,0.352790054,Côte d'Ivoire,0.209026087195,0.352753624351
El Salvador,SLV,2021,0.443230999,0.384748124,0.140420901,El Salvador,0.051309082352,0.390106330774
El Salvador,SLV,2021,0.230837472,0.19020124,0.062158404,El Salvador,0.051309082352,0.390106330774
"Iran, Islamic Rep.",IRN,2021,0.917102032,0.911031214,0.146089674,"Iran, Islamic Rep.",0.0370868413,0.354687290219
"Iran, Islamic Rep.",IRN,2021,0.873955083,0.873955083,0.090513131,"Iran, Islamic Rep.",0.0370868413,0.354687290219
Jamaica,JAM,2021,0.770388434,0.765894733,0.165087097,Jamaica,0.013869244053,0.39874473579
Jamaica,JAM,2021,0.676887024,0.667867733,0.068832098,Jamaica,0.013869244053,0.39874473579
Kenya,KEN,2021,0.870200163,0.605522243,0.770743765,Kenya,0.464498496563,0.387019625737
Kenya,KEN,2021,0.6744951,0.355941213,0.560261735,Kenya,0.464498496563,0.387019625737
Kyrgyz Republic,KGZ,2021,0.457642574,0.410026198,0.142902221,Kyrgyz Republic,0.056484836659,0.287933039694
Kyrgyz Republic,KGZ,2021,0.440891178,0.40922212,0.07131394,Kyrgyz Republic,0.056484836659,0.287933039694
Malaysia,MYS,2021,0.919659085,0.916168501,0.376963117,Malaysia,0.000130829415,0.406684269677
Malaysia,MYS,2021,0.829814604,0.829814604,0.133840416,Malaysia,0.000130829415,0.406684269677
Mali,MLI,2021,0.474852826,0.292890582,0.331920889,Mali,0.361030773406,0.356535942464
Mali,MLI,2021,0.375125069,0.271711295,0.236455008,Mali,0.361030773406,0.356535942464
Mexico,MEX,2022,0.602225062,0.58201765,0.239944489,Mexico,0.023303961168,0.434540071467
Mexico,MEX,2022,0.320687284,0.282797094,0.093448975,Mexico,0.023303961168,0.434540071467
Paraguay,PRY,2021,0.5879174,0.313968794,0.405696786,Paraguay,0.018594976834,0.429051216657
Paraguay,PRY,2021,0.478391116,0.205913383,0.333822615,Paraguay,0.018594976834,0.429051216657
Peru,PER,2021,0.653974922,0.642608178,0.194515214,Peru,0.051898446463,0.401218035606
Peru,PER,2021,0.45536394,0.44146099,0.066122733,Peru,0.051898446463,0.401218035606
Philippines,PHL,2021,0.627977305,0.562960919,0.286479069,Philippines,0.156957445487,0.37268467115
Philippines,PHL,2021,0.339873974,0.302951976,0.112270156,Philippines,0.156957445487,0.37268467115
Russian Federation,RUS,2021,0.923204028,0.913867414,0.34696995,Russian Federation,0.00225971227,0.351442241658
Russian Federation,RUS,2021,0.858112011,0.8468336,0.302959441,Russian Federation,0.00225971227,0.351442241658
